unclustered,clustered
314.380768,528.131550
145.027532,222.106700
71.359481,114.599710
25.615807,21.015323
44.147324,9.055749
323.143865,314.226328
78.321983,51.952420
33.996608,176.489519
15.677200,4.843124
89.397957,162.332232
236.890579,297.608223
718.172427,770.849733
47.973291,112.225537
116.834878,44.130412
91.529522,173.367918
153.784240,207.613771
91.714401,60.989580
55.019545,69.380748
39.769745,54.518204
75.350976,4.638894
72.145522,48.782569
132.552914,96.021954
195.831698,288.862715
12.086208,15.785153
217.477208,215.672032
34.913010,34.136682
114.752773,158.687867
7.912138,38.577110
248.181712,122.803520
324.194483,565.085739
106.008850,70.318864
353.181665,225.068562
381.686630,249.489310
76.206692,47.049061
45.542606,88.569571
163.918235,73.917021
146.224524,424.332255
174.512857,129.389197
369.055571,278.977961
18.527248,159.532883
206.214827,95.511094
232.118641,164.672347
55.270351,30.500473
55.046128,164.757615
271.645387,297.644748
110.963426,30.651426
230.019622,59.625248
226.258848,151.098352
308.798896,303.726794
154.283655,43.172540
204.385447,18.290213
178.077887,144.095604
167.238855,202.066845
271.392267,201.032196
196.220414,262.757927
112.091818,184.434371
58.566605,102.592811
250.196973,201.777418
55.352996,3.916513
183.147286,61.988091
153.625773,84.473597
86.566809,98.235508
6.874263,32.823142
155.723223,268.999681
1.859029,33.911954
57.147754,63.685111
155.137370,57.698123
3.758603,214.105911
248.961716,88.028464
94.055781,107.916589
216.685870,43.548848
166.601168,139.295659
113.649265,30.435655
179.774123,103.510704
134.022028,40.147883
199.088109,104.796331
201.152946,130.808450
17.479633,78.034021
291.924250,55.733676
213.390571,189.790174
200.628167,181.725417
79.866227,15.436769
67.936885,52.950077
237.896922,207.029146
143.105487,185.255588
